Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur,Note_Engagement,Note_Status,Score_Complexe,Score_Secu,Score_Quali,Rang_Expert,Rang_Secu,Rang_Quali,Score_Final,Segment_Editorial
Demon Slayer: Kimetsu no Yaiba,Action / Supernatural,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 2x17: I Will Never Give Up,Combat d'une intensité visuelle inégalée (Tengen vs Gyutaro).,7.3,Ep 11: Tsuzumi Mansion,Arc un peu plus lent avant le Mont Natagumo.,Animation révolutionnaire qui a rédefini les standards TV.,Phénomène culturel mondial (Mugen Train et records au box-office).,Personnages attachants (Tanjiro) et bestiaire marquant.,2.6000000000000005,7.3999999999999995,4.007333185232471,5.729727750364365,0,7.467972775036437,7.386486387518218,8.112972775036438,41.0,43.0,23.0,7.717972775036437,Risqué / Inégal
The Eminence in Shadow,Action / Isekai,Light Novel,32,En cours,Nexus,2022-10-05,8.2,9.0,Ep 20: Advent of the Demon,I AM ATOMIC. Le summum du 'Chunibyo' stylé.,7.4,Ep 10: The Sacred Land,Un peu d'exposition nécessaire mais moins d'action.,Parodie brillante des tropes Isekai 'Edgy'.,Cid Kagenou est un protagoniste hilarant dans son incompréhension.,Mélange parfait d'humour absurde et d'action sérieuse.,1.5999999999999996,8.4,3.4657359027997265,4.9553461765754605,0,7.525534617657545,7.727767308828773,7.895534617657545,39.0,31.0,39.0,7.775534617657545,Risqué / Inégal
Black Clover,Action / Fantasy,Manga,170,En pause,Studio Pierrot,2017-10-03,8.1,9.7,Ep 167: Black Oath,Le combat contre Dante. Animation Pierrot à son apogée.,2.7,Ep 82: Clover Clips Special,Episode résumé (Recap) unanimement détesté. (Autre point faible cité : Ep 29: Path).,Débuts difficiles avec une animation parfois instable.,Un Shonen classique qui devient incroyablement solide avec le temps.,"Asta crie beaucoup au début, mais son évolution est satisfaisante.",6.999999999999999,3.000000000000001,5.135798437050262,7.343219409228566,0,6.089321940922857,5.107160970461429,7.514321940922857,57.0,57.0,52.0,6.339321940922857,À éviter
The Promised Neverland,Mystery / Horror,Manga,23,Fini,CloverWorks,2019-01-11,8.5,9.8,Ep 12: 150146,L'évasion. Une conclusion parfaite pour la Saison 1.,5.3,Ep 2x11: The Final,"Saison 2 catastrophique (diaporama final), insulte au manga.",Saison 1 : Un chef d'oeuvre de tension et de stratégie.,"Saison 2 : Rush narratif incompréhensible, arc Goldy Pond sauté.",Aucun,4.500000000000001,5.499999999999999,3.1354942159291497,4.483163088689866,10,7.273316308868987,6.874158154434494,7.798316308868987,48.0,51.0,41.0,7.273316308868987,Risqué / Inégal
Chainsaw Man,Action / Horror,Manga,12,En cours,MAPPA,2022-10-12,8.4,8.7,Ep 8: GUNFIRE,Le tournant brutal de la série. Mise en scène cinématographique.,7.7,Ep 2: ARRIVAL IN TOKYO,"Introduction des personnages, rythme un peu plus posé.","Une direction artistique 'cinéma' unique, loin des standards anime.",Denji : un héros aux motivations simples mais réalistes.,Aucun,0.9999999999999991,9.0,2.4849066497880004,3.5529460442229963,0,7.6752946044223,8.03764730221115,7.9752946044223005,34.0,19.0,30.0,7.9252946044223,Risqué / Inégal
Vinland Saga,Adventure / Drama,Manga,48,En cours,Wit Studio / MAPPA,2019-07-08,8.8,8.9,Ep 2x22: Emperor of Rebellion,'I have no enemies'. L'aboutissement du pacifisme de Thorfinn.,7.4,Ep 13: Child of a Hero,Transition un peu plus faible au milieu de la S1.,Changement radical de ton entre S1 (Guerre) et S2 (Fermier).,Une des meilleures évolutions de personnage (Thorfinn).,Aucun,1.5,8.5,3.871201010907891,5.535084514853182,0,7.943508451485319,8.04675422574266,8.443508451485318,24.0,18.0,8.0,8.193508451485318,Très bon
Fairy Tail,Adventure / Magic,Manga,328,En cours,A-1 Pictures,2009-10-12,7.6,9.7,Ep 175: Natsu vs. Twin Dragons,Sommet du tournoi et de la 'Hype' Fairy Tail.,7.3,Ep 69: Call of the Dragon,Arc Daphne (Filler) souvent cité comme le point faible.,Le pouvoir de l'amitié (Nakama Power) poussé à l'extrême.,Bande son celtique rock légendaire de Yasuharu Takanashi.,Aucun,2.3999999999999995,7.6000000000000005,5.793013608384144,8.28291267432296,0,7.288291267432296,7.254145633716147,7.668291267432296,46.0,46.0,46.0,7.538291267432296,Risqué / Inégal
Mashle: Magic and Muscles,Comedy / Action,Manga,24,En cours,A-1 Pictures,2023-04-08,7.6,8.4,Ep 17: Finn Ames and the Friend,Moment de bravoure inattendu pour Finn.,7.5,Ep 5: The Unpopular Classmate,Humour répétitif qui peut lasser certains spectateurs.,Parodie assumée de Harry Potter avec un One Punch Man.,Les Opening sont des phénomènes viraux (Bling-Bang-Bang-Born).,Aucun,0.9000000000000004,9.1,3.1780538303479458,4.544015279538089,0,7.364401527953809,7.8172007639769046,7.444401527953809,44.0,27.0,53.0,7.614401527953809,Risqué / Inégal
SPY×FAMILY,Comedy / Slice of Life,Manga,37,En cours,Wit / CloverWorks,2022-04-09,8.4,9.1,Ep 2: Secure a Wife,L'introduction de Yor. Mélange parfait d'action et comédie.,7.8,Ep 17: Carry Out the Griffon Plan,"Episode plus léger 'Slice of Life', moins d'enjeux.",La dynamique familiale Forger est le coeur de la série.,Anya est une icône de la culture anime moderne.,Aucun,1.2999999999999998,8.7,3.6109179126442243,5.162928963483516,0,7.746292896348352,7.968146448174176,8.106292896348352,31.0,21.0,25.0,7.996292896348352,Risqué / Inégal
Dan Da Dan,Action / Supernatural,Manga,12,En cours,Science SARU,2024-10-04,8.4,9.7,Ep 7: Acrobatic Silky,Une histoire tragique et émouvante derrière le monstre.,7.9,Ep 12: Let's Go to the Cursed House,Fin de saison un peu abrupte pour certains.,Animation déjantée et créative typique de Science SARU.,"Mélange unique d'occulte, d'aliens et de romance adolescente.",Aucun,1.799999999999999,8.200000000000001,2.4849066497880004,3.5529460442229963,0,7.435294604422301,7.637647302211151,7.8952946044223005,42.0,36.0,40.0,7.685294604422301,Risqué / Inégal
Made in Abyss,Adventure / Mystery,Manga,25,En cours,Kinema Citrus,2017-07-07,8.6,9.6,Ep 13: The Challengers,Un épisode final d'une beauté et d'une cruauté absolues.,7.5,Ep 6: Incinerator,"Episode d'entraînement, nécessaire mais moins captivant.",Contraste brutal entre le design 'Chibi' et l'horreur du scénario.,Un voyage sans retour vers les profondeurs traumatisantes.,Aucun,2.0999999999999996,7.9,3.2188758248682006,4.602383002913293,0,7.56023830029133,7.6201191501456655,8.13023830029133,37.0,38.0,21.0,7.81023830029133,Risqué / Inégal
Kuroko's Basket,Sport / Basketball,Manga,75,Fini,Production I.G,2012-04-07,8.1,9.0,Ep 24: Don't Get the Wrong Idea,Kise vs Aomine. Le duel de la Génération des Miracles.,7.3,Ep 5: Your Basketball,"Mise en place de l'équipe, rythme plus lent.",Basket avec des super-pouvoirs assumés ('The Zone').,Animation fluide et intensité des matchs incomparable.,Aucun,1.7000000000000002,8.3,4.31748811353631,6.173190576506106,10,8.062319057650612,8.198659528825306,7.927319057650611,14.0,13.0,33.0,8.062319057650612,Très bon
Mob Psycho 100,Action / Supernatural,Manga,37,Fini,Bones,2016-07-11,8.5,9.5,Ep 2x07: Cornered,L'évolution de Reigen et le climax émotionnel de la S2.,7.5,Ep 1: Self Proclaimed Psychic,Style visuel unique qui peut dérouter au premier épisode.,Animation 'Sakuga' époustouflante de Bones.,Reigen Arataka est l'un des meilleurs mentors de l'anime.,Aucun,2.0,8.0,3.6109179126442243,5.162928963483516,10,8.091292896348353,8.158146448174175,8.116292896348352,12.0,15.0,22.0,8.091292896348353,Très bon
